Reference, Value, Footprint, Datasheet, 2nd Source Part Number, 1st Source, 2nd Source, Manufacturer Part Number, 1st Source Part Number, Manufacturer
"C26","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C28","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C19","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C17","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C15","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C14","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C27","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C25","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C23","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"X1","XTAL_7A-20.000MAAJ-T","usevolt:XTAL_7A-20.000MAJ","http://www.farnell.com/datasheets/1041607.pdf?_ga=1.225290842.1948984246.1460023966","","Farnell","","7A-20.000MAAJ-T","1841950","TXC",""
"C30","18pF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2111569.pdf?_ga=1.260538573.1948984246.1460023966","","Farnell","","C0603C180J2GACTU","1865514","KEMET",""
"C31","18pF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2111569.pdf?_ga=1.260538573.1948984246.1460023966","","Farnell","","C0603C180J2GACTU","1865514","KEMET",""
"J3","HEADER_USART_2_SMD","usevolt:HEADER_4_2_SMD","",""
